セッションタイトル,セッション概要,トラック,セッションレベル,対象オーディエンス,スピーカー名,スピーカーAlias,セッションID
今だからもう一度確認したい、クライアントテクノロジーの概要と選択,"新たに UWP が登場した Windows のクライアントプラットフォーム。 我々は Web、Windows フォーム、WPF、Windows ランタイムに UWP、さらにはハイブリッドアプリなど様々な技術を用途に合わせて選択することができます。
そこでこのセッションではそれらの各テクノロジーを改めて紐解きながら、どういった場面でどういったテクノロジーを採用したらよいのか、また今後の変化をを見据えたうえで、クライアントアプリケーションの実装モデルをどのように構築したらよいのか、といった点にフォーカスしながらデモを交えて解説します。",4.Client,300,開発者;#ITプロ;#アーキテクト,高橋 忍,shintak,CLT-001
クラウドで広げる広がる UWP アプリの世界,クラウドファースト、モバイルファーストの世界において生まれてきた UWP アプリは、様々なデバイス上で動くだけでなく、もちろんクラウドとの相性も抜群です。本セッションでは、Azure を使わない方法から Azure を活用する方法まで、やりたいこと、できることベースに UWP アプリの世界をどのように広げていけるのかについて解説します。,4.Client,300,開発者,田中達彦,ttanaka,CLT-010
Windows 10 デバイスと UWP 完全解説,Raspberry Pi 2 のような IoT デバイスから PC、スマートフォン、タブレットはもちろん、Xbox から HoloLens に至るまで様々なデバイスに対応した Windows 10。その各デバイスと UWP はどのように関係にあり、各デバイスへの対応はどのようしたらよいのか？これから Windows10 アプリに対応するために抑えておかなければならないこのポイントをしっかり解説します。皆さんのアプリをいつか、HoloLens で起動させるためにも、ここはしっかり押さえておいてください。,4.Client,300,開発者,高橋 忍,shintak,CLT-002
UWP で業務パッケージやエンタープライズ LOB は行けるのか？ ～ UWP アプリによる業務システムの開発と展開 ～,"企業システムと親和性の高い Windows 10 や Windows 10 Mobile への関心の高まりと共に、業務のベストプラクティスを UWP アプリとして開発や展開する事例が増えてきています。本セッションでは、業務アプリ開発に利用できる UWP の API や、ビジネス向けのアプリ配置に活用できる Windows ストアやサイドローディングにおける留意点、UWP アプリの開発から展開について解説します。
",4.Client,300,開発者;#ITプロ;#アーキテクト,佐藤 直樹,naokis,CLT-003
インサイド UWPアプリ,Windows 10 では、Windows Runtime の発展形である UWP へのアプリ環境へと更新されています。新しいスタート メニューの提供とともに、Windows のシェルである Windows Explorer も目に見えないところで、Windows 8.1 から改良が行われています。本セッションでは、アプリ環境である UWP と Windows シェルとの関係を説明します。,4.Client,400,開発者,荒井　省三,shozoa,CLT-012
音声を活用した UWP アプリの拡張 ～ Cortana、音声合成、音声認識 ～,Windows 10 の特長的な機能の一つのパーソナル アシスタントである Cortana。Cortana はアプリと連動させることができるため、単なるアシスタント以上の活躍をさせることができます。本セッションでは、アプリと Cortana の連動や、Cortana を使わずにアプリを音声の入出力に対応させる方法を解説し、アプリの可能性を広げるヒントを紹介します。,4.Client,300,開発者,田中達彦,ttanaka,CLT-015
Windows 10 におけるアプリの互換性と移行,Windows 10 では、アプリの動作モードが変更されて、Windows 7 と同じウィンドウを持つようになりました。利用者からは、デスクトップ アプリと UWP アプリの見え方に違いはなく、目的に応じてシームレスとにアプリが使えることが求められます。本セッションでは、アプリの互換性を確保するために必要な作業を初めとして、UWPアプリへ移行する方法とタッチと親和性の高い UWP アプリを組み合わせるための相互連携技術まで説明します。,4.Client,300,開発者,荒井　省三,shozoa,CLT-004
HoloLens アプリ開発 ～世界を変えてしまうテクノロジー～,ホログラフィック コンピューティングを実現する Microsoft HoloLens は、パワフルかつまったく新しいホログラフィック プラットフォームであり、Microsoft Windows 10 ファミリーです。Microsoft HoloLens を使用すると現実世界と仮想世界の時間と空間を融合 (Mixed Reality) させることができますが、そのためにはデバイスの機能と特長を理解しておく必要があります。本セッションでは Microsoft HoloLens の重要かつ特長的な機能と Mixed Reality の設計、アプリ開発手法およびアプリ モデルについてご紹介します。世界を変えてしまうテクノロジーにいち早く触れてください。,4.Client,300,開発者,千葉 慎二,shinjich,CLT-007
HoloLens 概要 ～世界をみる新しい方法～,ホログラムはコンピューティングにおける大きな革命です。クリエーターや開発者など多くの人たちが心に描いたハードウェア、ソフトウェアを目に見えるかたちにできます。Microsoft HoloLens は光を放つことによってイメージを造り、音により臨場感を増し、そしてコントロールすることによってホログラムの世界を変えることのできる新しいデバイスです。本セッションでは、ホログラフィック プラットフォームの基本的な考え方と類似プラットフォームとの比較、それによる開発スタイルの変革や活用アイデアについてご紹介します。,4.Client,300,開発者,千葉 慎二,shinjich,CLT-006
Windows 10 アプリとシングルサインオン～Microsoft Passport の意義とその実装方法,"シングルサインオン（SSO）はセキュリティの要です。その理由はセッション内でいやというほど詳しくお話ししますが、安全性を追求すると必然的にSSO になってしまうのです。問題は SSO の実装方法です。
Windows 10 からあらたに実装された Microsoft Passport、そしてそれとともに動作する生体認証機能 Windows Hello をご存知でしょうか？これもセッション内で詳しく解説しますが、「安全性」と「手軽さ」を兼ね備えた、現時点では究極の認証方法と言えるでしょう。
本セッションでは、「シングルサインオン」に主眼を置き、アプリケーションが実装すべき安全性と、Windows 10 アプリを Microsoft Passport および Windows Hello に対応させる方法について詳しく解説いたします。
皆さんのアプリケーションのパンフレットに「生体認証対応！」と書かれていたらどんなにすばらしいか想像してみてください。",4.Client,300,開発者;#ITプロ;#アーキテクト,安納 順一,junichia,CLT-009
